index,Test Set,Expected,Actual,English-Latin1,French_Francais-Latin1,Spanish-Latin1,Italian-Latin1,German_Deutsch-Latin1
0-English-Latin1,Member,English-Latin1,German_Deutsch-Latin1,0.2913641998668149,0.27201321359516506,0.2706037832699982,0.27887333060480557,0.3683824939788721
0-French_Francais-Latin1,libre,French_Francais-Latin1,Spanish-Latin1,0.32416936882043906,0.28188406822897544,0.33794218575688006,0.32228964389288506,0.2612929837515442
0-Spanish-Latin1,inhumanos,Spanish-Latin1,English-Latin1,0.2215435468474829,0.2274429843828675,0.20626539768153762,0.16278906346002722,0.18294471073586796
0-Italian-Latin1,scelti,Italian-Latin1,Italian-Latin1,0.25131359580436713,0.21342722722941865,0.21631521906478238,0.19825573851971723,0.21784208335217783
0-German_Deutsch-Latin1,gilt,German_Deutsch-Latin1,German_Deutsch-Latin1,0.311477937809087,0.25267244263153615,0.30418252610241814,0.24348757916606675,0.24401302675810768
1-English-Latin1,such,English-Latin1,German_Deutsch-Latin1,0.2750121595063746,0.23542373310057146,0.2620813482213438,0.2655600665293619,0.4459974888755413
1-French_Francais-Latin1,peuples,French_Francais-Latin1,French_Francais-Latin1,0.29521437636868203,0.27026105755512736,0.25860502781773154,0.1964169299342879,0.19762834828562192
1-Spanish-Latin1,han,Spanish-Latin1,English-Latin1,0.3935711533383036,0.4282023242472938,0.3837586772137589,0.4096396516081137,0.4250077918792805
1-Italian-Latin1,onore,Italian-Latin1,French_Francais-Latin1,0.3418000273831307,0.3458589302344328,0.3560311735870403,0.30083131365301935,0.29210179875588377
1-German_Deutsch-Latin1,Beziehungen,German_Deutsch-Latin1,German_Deutsch-Latin1,0.31411419965457327,0.19543126385265783,0.17468384332989584,0.18184629049053655,0.2009263560377539
2-English-Latin1,cooperation,English-Latin1,English-Latin1,0.2341891048863959,0.23358777288626767,0.21409142080688548,0.22112152875066016,0.1868852980874108
2-French_Francais-Latin1,Article,French_Francais-Latin1,English-Latin1,0.27040686353198845,0.2949224153028263,0.24170960929605054,0.2612880733721554,0.23673704312521976
2-Spanish-Latin1,elevar,Spanish-Latin1,French_Francais-Latin1,0.2697633478040848,0.2388859761655789,0.2744510197354918,0.2245122197334252,0.24903228487130938
2-Italian-Latin1,giuridico,Italian-Latin1,Italian-Latin1,0.26864824580594665,0.18800797271395003,0.1783588045227932,0.2169078998781579,0.14937556016850165
2-German_Deutsch-Latin1,Frauen,German_Deutsch-Latin1,German_Deutsch-Latin1,0.27572156942171977,0.23438430075463762,0.2356167546517378,0.2709211959179905,0.2072499531793112
3-English-Latin1,every,English-Latin1,English-Latin1,0.45009911345984815,0.26382311775652756,0.4081671996693986,0.2502037863976559,0.3231599371554225
3-French_Francais-Latin1,expression,French_Francais-Latin1,English-Latin1,0.24549286416481422,0.2535352992717106,0.2521369982021055,0.2185038969781511,0.22907980083441004
3-Spanish-Latin1,pertenecer,Spanish-Latin1,German_Deutsch-Latin1,0.2132957775839727,0.21027239955245128,0.20729181696370186,0.2019838783658955,0.22505440781172628
3-Italian-Latin1,sesso,Italian-Latin1,Italian-Latin1,0.32363262178711694,0.24477616928784485,0.2468957240914332,0.2951931218032548,0.23665852852924818
3-German_Deutsch-Latin1,Rechte,German_Deutsch-Latin1,German_Deutsch-Latin1,0.3874299746838005,0.28194508112692607,0.2706168701594133,0.2730956303089369,0.2741996985330055
